Name	Set	ImageFile	Type	Sub-Type	Cost	Attack	HPs	Text	ID
Absorption	vampire		Spell		1			Give Drain to the target monster. (Half of the damage (rounded down) that this monster inflicts, whether it is attacking or blocking, is returned to you in HPs.)	08-01-01
Noble Vampire	vampire		Monster		2	2	2	Each time this monster attack, you can perform Bloodsucking 2 : this monster gain Taunt until the start of your next turn. (If you want to attack the enemy player or another monster without taunt, you need to kill this one before, pay 2 HPs to activate this effect.)	08-01-02
Bat Summoning	vampire		Spell		3			Summon 1 Bat Token 1/1 with Drain. (Half of the damage (rounded down) that this monster inflicts, whether it is attacking or blocking, is returned to you in HPs.)	08-01-03
Blood Pact	vampire		Spell		4			Deal 4 damage to the target. You gain 2HPs. If you have 10HP or less you also recover 3 Mana Points.	08-01-04
Vampire Lord	vampire		Monster		5	4	2	Summon 2 Bat Token 1/1 with Drain (Half of the damage (rounded down) that this monster inflicts, whether it is attacking or blocking, is returned to you in HPs.) Celerity. (Can attack the turn this card is played)	08-01-05
Vampire Scribe	vampire		Monster		6	2	2	Draw X cards, X being the number of Bat Tokens in play.	08-01-06
Grouping	vampire		Spell		7			Every Bat Tokens in play gain +2/+0 until end of turn.	08-01-07
Demon of the Abyss	vampire		Monster		8	X	6	The attack of this monster is equal to the number of Bat Tokens in play. Rush. (Can attack a monster the turn this card is played) Cost 1 less to play for each Bat Token in play.	08-01-08
Bat Transformation	vampire		Spell		3			The targeted monster become until the end of this turn a Bat Token 1/1 with Drain. (Half of the damage (rounded down) that this monster inflicts, whether it is attacking or blocking, is returned to you in HPs.)	08-01-09
Blood Blade	vampire		Spell		3			The targeted monster gain +2/+0.	08-01-10
Dracula, King of the Bats	vampire		Monster		6	6	3	Summon 2 Bat Token 1/1 with Drain. (Half of the damage (rounded down) that this monster inflicts, whether it is attacking or blocking, is returned to you in HPs.) If you have 10HPs or less, summon 5 Bat Tokens instead of 2.	08-01-11
Vampire Apprentice	vampire		Monster		3	2	2	Bloodsucking 2 : Gain +2/+0 until the end of this turn. (Pay 2HPs to activate this effect.)	08-02-01
Alucard	vampire		Monster		6	6	6	Bloodsucking 4 : Give Celerity (Can attack the turn this card is played) to the monster of your choice. (Pay 4HPs to activate this effect.)	08-02-02
Bloody Temple	vampire		Artifact		5			Each time you use a Bloodsucking capacity, deal 1 damage to the target of your choice.	08-02-03
Nosferatu	vampire		Monster		4	3	3	Bloodsucking 2 : the targeted player draw 2 cardS. (Pay 3HPs to activate this effect.) You can do this effect only one time per turn.	08-02-04
Treachery	vampire		Spell		3			Sacrifice an allied monster : the target of your choice recover 3HPs.	08-02-05
Abraham Van Helsing, Vampire Hunter	vampire		Monster		7	3	3	Gain +0/+1 for each neutral card in play and +1/+0 for each vampire card in play. Rush. (Can attack a monster the turn this card is played)	08-02-06
Bloody Chalice	vampire		Artifact		0			While this card is in play, each time you use a Bloodsucking capacity, you gain as many life as HPs used to activate this capacity and you can chose to pay them again to deal X damage to all enemy monsters and to the enemy player, X being the cost of the Bloodsucking capacity. Cost 1 more to play for each HP you have.	08-02-07
Vampire Sentinel	vampire		Monster		1	1	1	While this card is in play, each time you use a Bloodsucking capacity, the target of your choice recover 1HP. This effect can be used 2 times per turn.	08-02-08
Behemoth	vampire		Monster		9	7	5	Bloodsucking 5 : deal 4 damage to the target. (Pay 5HPs to activate this effect.) You can do this effect only one time per turn. Rush. (Can attack a monster the turn this card is played)	08-02-09
Vengeance	vampire		Spell		6			Destroy the card of your choice, if you have 10HPs or less this card cost 3 less to play and you can put it into your hand instead of put it into your discard pile.	08-02-10
Carmilla	vampire		Monster		4	1	2	While this card is in play, each time a monster, a spell or an artifact is played, deal 1 damage to the player of your choice.	08-02-11
Call of the Bats	vampire		Spell		5			Summon 2 Bat Token 1/1 with Drain. (Half of the damage (rounded down) that this monster inflicts, whether it is attacking or blocking, is returned to you in HPs.) Upgrade 8 : Summon one more and give them Celerity. (Can attack the turn this card is played, you can pay the Upgrade cost instead of the original cost to benefits of the specified effect.)	08-03-01
Cthulhu	vampire		Monster		50	15	15	Celerity. (Can attack the turn this card is played) Drain. (Half of the damage (rounded down) that this monster inflicts, whether it is attacking or blocking, is returned to you in HPs.) Ignore monsters with Taunt. (If you want to attack the enemy player or another monster without taunt, you need to kill this one before.) Cost 1 less to play for each HP you have. If you play this card for 0, gain +X/+X, X being the total number of HPs every player have.	08-03-02
Blood Sucking	vampire		Spell		5			Deal 6 damages to the targeted monster. You gain 4HPs. If you have less than 10HPs, you gain 2 more HPs.	08-03-03
Pact with Cthulhu	vampire		Spell		7			Discard 3 cards from your hand : search in your deck for a card called "Cthulhu", show it to your opponent and put it in your hand. Then shuffle your deck.	08-03-04
Cthulhu Protector	vampire		Monster		5	4	5	Taunt. (If you want to attack the enemy player or another monster without taunt, you need to kill this one before.) Drain. (Half of the damage (rounded down) that this monster inflicts, whether it is attacking or blocking, is returned to you in HPs.)	08-03-05
