Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte	ID
Jeton Loup	jeton		Creature	Bete	1	1	1	Ne peux pas etre renvoye en main. Celerite. (Peux attaquer des le tour ou cette carte est jouee)	11-01-01
Jeton Durandal, Epee Sacree	jeton		Artefact		10			Ne peux pas etre renvoye en main. Tant que ce Jeton est en jeu, a chaqu'un de vos debuts de tour infligez X Points de Degats a toutes les creatures adverses, X etant le cout originel total de toutes les creatures alliees en jeu.	11-01-02
Jeton Engeance de Flamme	jeton		Creature	Feu	1	1	1	Ne peux pas etre renvoye en main. Tant que cette creature est en jeu, vos sorts infligent 1 points de degats supplementaires.	11-02-01
Jeton Engeance de Givre	jeton		Creature	Glace	1	1	1	Ne peux pas etre renvoye en main. Tant que c'est creature est en jeu, a la fin de votre tour vous pouvez choisir une creature adverse et la geler. Si aucune creature adverse ne peux etre gelee, alors detruisez une creature adverse.	11-02-02
Jeton Zombie	jeton		Creature	Zombie	1	1	1	Ne peux pas etre renvoye en main.	11-01-03
Jeton Gobelin	jeton		Creature	Gobelin	1	1	1	Ne peux pas etre renvoye en main. Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature)	11-01-04
Jeton Chauve-Souris	jeton		Creature		1	1	1	Ne peux pas etre renvoye en main. Drain. (La moitie des degats (arrondi a l'inferieur) que cette creature inflige, qu'elle soit attaquante ou bloqueuse, vous sont rendus en PVs.)	11-01-05
Jeton Serpent	jeton		Creature		1	1	1	Ne peux pas etre renvoye en main. Poison Mortel. (Si cette creature inflige des degats a une autre creature, cette derniere est systematiquement detruite. Si la cible de son attaque est un joueur donnez lui autant de marqueur poison que de degats subits. Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un.)	11-01-06
Jeton Bombe Elfique	jeton		Creature	Elfique	1	0	1	Ne peux pas etre renvoye en main. Quand ce Jeton meurt, infligez 1 point de degat a la cible.	11-02-03
Jeton Route vers le Saint Graal	jeton		Artefact		10			Ne peux pas etre renvoye en main. Au debut de votre tour, sacrifiez ce jeton et invoquez un Jeton Saint Graal si vous n'en avez pas deja un.	11-02-04
Jeton Saint Graal	jeton		Artefact		10			Ne peux pas etre renvoye en main. Au debut de votre tour, vous pouvez choisir de sacrifier ce jeton pour que le joueur de votre choix perde la partie.	11-02-05
Jeton Officier	jeton		Creature	Paladin	1	1	2	Ne peux pas etre renvoye en main.	11-02-06
Jeton Engeance de Roche	jeton		Creature	Terre	1	1	1	Ne peux pas etre renvoye en main. Tant que cette creature est en jeu, reduisez les dommages recus de 2.	11-03-01
Jeton Golem d'Argile	jeton		Creature	Terre	1	X	X	Ne peux pas etre renvoye en main. X est egal au nombre de fois que vous avez lance le sort "Invocation de Golem d'Argile" dans la partie. Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature)	11-03-02
