Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte	ID
Bandit des Sables	moine		Creature		1	0	2	Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature)	03-01-01
Concentration	moine		Sort		2			Donnez-vous 1 Point de Mana vide supplementaire.	03-01-02
Recherche Spirituelle	moine		Sort		3			Piochez 1 carte et reduisez son cout de 1 Point de Mana.	03-01-03
Al, le Voleur d'Enfants	moine		Creature		4	2	2	Prennez le controle de la creature ciblee coutant 3 Points de Mana ou moins, vous pouvez attaquer avec.	03-01-04
Meditation	moine		Sort		5			Piochez X cartes et donnez-vous 1 Point de Mana vide supplementaire, X etant le nombre de Points de Mana maximums que vous avez moins le nombre de Points de Mana maximums que votre adversaire possede.	03-01-05
Sablier de la Verite	moine		Sort	Piege	6			A tout moment ou un Artefact est joue vous pouvez decider de le bannir.	03-01-06
Maitre Shaolin	moine		Creature		7	1	5	Rends X PVs a la cible, X etant l'attaque de la creature la plus forte en jeu. Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature) Grandeur 2. (A chaque fois que vous lancez un sort, cette creature gagne +2/+0 jusqu'a la fin du tour.)	03-01-07
Prince du Temps	moine		Creature		8	1	1	La partie recommence depuis le debut, cependant cette carte et toutes les iterations de cette derniere sont mis dans la pile des cartes bannies juste avant le second debut de la partie. Tant que cette carte est dans la pile des cartes bannies vous subissez un point de degat par tour mais piochez une carte en plus a chaqu'un de vos debut de tour, cet effet n'est pas cumulable si vous avez plusieurs iterations du Prince du Temps dans la pile des cartes bannies.	03-01-08
Verethragna	moine		Creature		9	4	5	La creature alliee ciblee recupere tout ses PVs et peux attaquer de nouveau pour ce tour-ci si elle avait deja attaque, en contrepartie, elle ne pourra pas attaquer au prochain tour.	03-01-09
Shadhahvar, la Licorne Carnivore	moine		Creature		10	X	X	L'Attaque et les PVs de cette creature sont egaux aux nombres de tours joues sur cette partie. Charge. (Peux attaquer une creature des le tour ou cette carte est jouee)	03-01-10
Sacrifice Mental	moine		Sort	Piege	3			Au moment ou une creature adverse attaque une cible, vous pouvez sacrifier 1 Point de Mana maximum. Si vous faites ainsi, annulez totalement l'attaque de cette creature et detruisez-la.	03-01-11
