Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte	ID
Absorption	vampire		Sort		1			Donne Drain a la creature cible. (La moitie des degats (arrondi a l'inferieur) que cette creature inflige, qu'elle soit attaquante ou bloqueuse, vous sont rendus en PVs.)	08-01-01
Noble Vampire	vampire		Creature		2	2	2	A chaque fois que cette creature attaque, vous pouvez effectuer Succion 2 : cette creature gagne Provocation jusqu'au debut de votre prochain tour. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature, payez 2 PVs pour activer cet effet.)	08-01-02
Invocation de Chauve-Souris	vampire		Sort		3			Invoquez un Jeton Chauve-Souris 1/1 avec Drain. (La moitie des degats (arrondi a l'inferieur) que cette creature inflige, qu'elle soit attaquante ou bloqueuse, vous sont rendus en PVs.)	08-01-03
Pacte de Sang	vampire		Sort		4			Inflige 4 points de degats a la cible. Vous gagnez 2PVs. Si vous avez moins de 10PVs vous recuperez 3 points de Mana.	08-01-04
Seigneur Vampire	vampire		Creature		5	4	2	Invoquez deux jetons Chauve-Souris 1/1 avec Drain. (La moitie des degats (arrondi a l'inferieur) que cette creature inflige, qu'elle soit attaquante ou bloqueuse, vous sont rendus en PVs.) Celerite. (Peux attaquer des le tour ou cette carte est jouee)	08-01-05
Scribe Vampire	vampire		Creature		6	2	2	Piochez X cartes, X etant le nombre de Jetons Chauves-Souris en jeu.	08-01-06
Regroupement	vampire		Sort		7			Tout les Jetons Chauves-Souris en jeu gagnent +2/+0 jusqu'a la fin du tour.	08-01-07
Demon des Abysses	vampire		Creature		8	X	6	L'attaque de cette creature est egal au nombre de Jetons Chauve-Souris en jeu. Charge. (Peux attaquer une creature des le tour ou cette carte est jouee) Coute 1 de moins a jouer pour chaque Jeton Chauve-Souris en jeu.	08-01-08
Transformation en Chauve-Souris	vampire		Sort		3			La creature cible deviens jusqu'a la fin du tour un Jeton Chauve-Souris 1/1 avec Drain. (La moitie des degats (arrondi a l'inferieur) que cette creature inflige, qu'elle soit attaquante ou bloqueuse, vous sont rendus en PVs.)	08-01-09
Lame de Sang	vampire		Sort		3			La creature cible gagne +2/+0.	08-01-10
Dracula, Roi des Chauves-Souris	vampire		Creature		6	6	3	Invoquez 2 jetons Chauve-Souris 1/1 avec Drain. (La moitie des degats (arrondi a l'inferieur) que cette creature inflige, qu'elle soit attaquante ou bloqueuse, vous sont rendus en PVs.) Si vous avez moins de 10PVs, invoquez en 5 au lieu de 2.	08-01-11
Apprenti Vampire	vampire		Creature		3	2	2	Succion 2 : Gagne +2/+0 pour le tour en cours. (Payez 2 PVs pour activer cet effet.)	08-02-01
Alucard	vampire		Creature		6	6	6	Succion 4 : Donnez la Celerite (Peux attaquer des le tour ou cette carte est jouee) a la creature de votre choix. (Payez 4 PVs pour activer cet effet.)	08-02-02
Temple Sanglant	vampire		Artefact		5			A chaque fois que vous utilisez une capacitee de succion, infligez 1 Point de Degat a la cible de votre choix.	08-02-03
Nosferatu	vampire		Creature		4	3	3	Succion 2 : le joueur cible pioche deux cartes. (Payez 2 PVs pour activer cet effet.) Cet effet est utilisable qu'une fois par tour.	08-02-04
Traitrise	vampire		Sort		3			Sacrifiez une creature alliee : rendez 3PVs a la cible de votre choix.	08-02-05
Abraham Van Helsing, Chasseur de Vampires	vampire		Creature		7	3	3	Gagne +0/+1 pour chaque carte neutre en jeu, gagne +1/+0 pour chaque carte vampire en jeu. Charge. (Peux attaquer une creature des le tour ou cette carte est jouee)	08-02-06
Calice Ensanglante	vampire		Artefact		0			A chaque fois que vous utilisez une capacitee de succion, vous regagnez autant de vie que de PVs depenses et vous pouvez ensuite decider de les redepenser pour infliger X points de degats a toutes les creatures adverses et leurs proprietaires, X etant le cout de la capacitee de succion. Coute 1 de plus pour chaque PV que vous avez.	08-02-07
Sentinelle Vampire	vampire		Creature		1	1	1	A chaque fois que vous utilisez une capacitee de succion, rendez 1PV a la cible de votre choix, utilisable deux fois par tour.	08-02-08
Behemoth	vampire		Creature		9	7	5	Succion 5 : inflige 4 points de degats a la cible. (Payez 5 PVs pour activer cet effet.) Cet effet est utilisable qu'une fois par tour. Charge. (Peux attaquer une creature des le tour ou cette carte est jouee)	08-02-09
Vengeance	vampire		Sort		6			Detruisez la carte de votre choix, si vous avez moins de 10PVs, cette carte coute 3 de moins a jouer et vous pouvez la remettre dans votre main au lieu de la mettre dans votre defausse.	08-02-10
Carmilla	vampire		Creature		4	1	2	A chaque fois qu'une creature, qu'un sort ou qu'un artefact est joue, infligez 1 point de degats au joueur cible.	08-02-11
