Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte	ID
Fiole de Poison	voleur		Sort		1			Le joueur cible obtient 2 Marqueurs Poison. (Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un.)	07-01-01
Rat de Laboratoire	voleur		Creature		2	1	3	Poison Mortel. (Si cette creature inflige des degats a une autre creature, cette derniere est systematiquement detruite. Si la cible de son attaque est un joueur donnez lui autant de marqueur poison que de degats subits. Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un.)	07-01-02
Piege a Serpent	voleur		Sort	Piege	3			Au moment ou une creature adverse attaque une cible, invoquez 3 Jetons Serpents 1/1 avec Poison Mortel. (Si cette creature inflige des degats a une autre creature, cette derniere est systematiquement detruite. Si la cible de son attaque est un joueur donnez lui autant de marqueur poison que de degats subits. Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un.) L'un de ces Jetons encaisse l'attaque a la place de la cible originelle.	07-01-03
Charmeur de Serpents	voleur		Creature		4	2	3	Invoquez 2 Jetons Serpents 1/1 avec Poison Mortel. (Si cette creature inflige des degats a une autre creature, cette derniere est systematiquement detruite. Si la cible de son attaque est un joueur donnez lui autant de marqueur poison que de degats subits. Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un.)	07-01-04
Bague du Voleur de Sorts	voleur		Sort	Piege	3			Au moment ou votre adversaire lance un sort ayant le sous-type "Piege", vous pouvez le contre-carrer et de le mettre dans votre main.	07-01-05
Mort-aux-rats	voleur		Sort	Piege	4			Au moment ou une creature adverse attaque une cible, vous pouvez decider que le joueur de votre choix obtient 2 Marqueurs Poison. (Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un.)	07-01-06
Empoisonneur Cinglant	voleur		Creature		7	2	7	A chaque fois que cette creature attaque le joueur, le joueur de votre choix obtient 2 Marqueurs Poison. (Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un.) Charge. (Peux attaquer une creature des le tour ou cette carte est jouee)	07-01-07
Medusa, Reine des Serpents	voleur		Creature		8	1	7	Tant que cette creature est en vie, invoquez 2 Jetons Serpent 1/1 avec Poison Mortel a la fin de chacun de vos tours. Poison Mortel. (Si cette creature inflige des degats a une autre creature, cette derniere est systematiquement detruite. Si la cible de son attaque est un joueur donnez lui autant de marqueur poison que de degats subits. Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un.)	07-01-08
Serpent Millenaire	voleur		Creature		13	3	X	Les PVs de cette creature sont egaux aux nombres de Jetons Serpents en jeu et de Marqueurs Poison sur tout les joueurs. Poison Mortel, Charge. (Si cette creature inflige des degats a une autre creature, cette derniere est systematiquement detruite. Si la cible de son attaque est un joueur donnez lui autant de marqueur poison que de degats subits. Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un, cette creature peux attaquer une creature des le tour ou elle est jouee) Coute 1 de moins a jouer pour chaque Jeton Serpent en jeu et chaque Marqueur Poison sur l'ensemble des joueurs.	07-01-09
Pudding a l'Arsenic	voleur		Sort		15			Inflige X points de degat au joueur adverse, X etant le nombre de marqueurs poisons de tout les joueurs. Coute 1 de moins a jouer pour chaque Marqueur Poison present sur tout les joueurs.	07-01-10
Pioche Mortelle	voleur		Sort		3			Sacrifiez un Jeton Serpent que vous controlez : piochez 2 cartes.	07-01-11
Piege Empoisonne	voleur		Sort	Piege	6			Au moment ou votre adversaire lance un sort, vous pouvez decider que le joueur de votre choix obtient X Marqueurs Poison, X etant egal au cout originel du sort lance par votre adversaire. (Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un.)	07-02-01
Contre-sort	voleur		Sort	Piege	3			Au moment ou votre adversaire lance un sort, contrecarrez-le et retirez autant de marqueurs poisons de l'adversaire que le mana depense par l'adversaire pour lancer le sort qui viens de se faire contrecarrer.	07-02-02
Jongleur Fou	voleur		Creature		6	5	4	Combo 4. (En jouant cette carte vous pouvez jouer un nombre infini de cartes supplementaires sans payer leur cout en mana tant que le cout total en mana de toutes ces cartes ne depasse pas 4.)	07-02-03
Scientifique Fou	voleur		Creature		1	1	1	A chaque fois que cette creature attaque, vous pouvez donner un Marqueur Poison au joueur de votre choix. (Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un.)	07-02-04
Ali Baba, Roi des Voleurs	voleur		Creature		5	X	3	L'attaque de cette creature est egal au nombre de pieges dans toutes les zones de pieges. Celerite. (Peux attaquer des le tour ou cette carte est jouee)	07-02-05
Derobeur de Tresors	voleur		Creature		1	1	1	Cherchez dans votre deck une carte ayant le sous-type "Piege", montrez-la a votre adversaire et mettez-la dans votre main, melangez ensuite votre deck.	07-02-06
Contre-attaque	voleur		Sort	Piege	4			Au moment ou une creature adverse arrive en jeu depuis la main de votre adversaire, vous pouvez effectuer Combo 5 (Vous pouvez jouer un nombre infini de cartes supplementaires sans payer leur cout en mana tant que le cout total en mana de toutes ces cartes ne depasse pas 5.) comme si vos cartes avaient Flash.(Peux etre jouee depuis votre main a n'importe quel moment)	07-02-07
Demineur	voleur		Creature		8	1	1	Deminage 2 : Infligez 5 points de degats au joueur cible. (Defaussez-vous de 2 cartes pieges de votre main pour activer cet effet.)	07-02-08
Mirroir Magique	voleur		Sort	Piege	4			Au moment ou vous recevez des degats, vous pouvez les rediriger ou vous le souhaitez.	07-02-09
Embuscade	voleur		Sort		15			Combo 15. (En jouant cette carte vous pouvez jouer un nombre infini de cartes supplementaires sans payer leur cout en mana tant que le cout total en mana de toutes ces cartes ne depasse pas 15.) Cette carte coute 1 de moins a jouer pour chaque carte ayant le sous-type "Piege" dans votre zone Piege et pour chaque carte dans votre main.	07-02-10
Malandrin	voleur		Creature		5	4	2	Charge. Combo 4. (En jouant cette carte vous pouvez jouer un nombre infini de cartes supplementaires sans payer leur cout en mana tant que le cout total en mana de toutes ces cartes ne depasse pas 4 et cette creature peux attaquer une creature des le tour ou elle est jouee.)	07-02-11
Antidote	voleur		Sort		5			Retirez X Marqueurs Poison a un joueur adverse puis piochez X cartes, X etant le nombre de votre choix.	07-03-01
Copieur Farceur	voleur		Creature		4	2	3	Si vous jouez cette carte dans une capacitee de Combo, invoquez deux copies de cette creature en jeu. Combo 4. (En jouant cette carte vous pouvez jouer un nombre infini de cartes supplementaires sans payer leur cout en mana tant que le cout total en mana de toutes ces cartes ne depasse pas 4.)	07-03-02
