Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte
Porte-Etendard	guerrier		Creature		1	2	1	Gagne +0/+1 si cette creature se fait attaquer par une creature adverse avec 1 d'attaque ou moins.
Escrimeur	guerrier		Creature		2	3	1	Charge. (Peux attaquer une creature des le tour ou cette carte est jouee)
Lancier	guerrier		Creature		3	2	3	Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature)
Garde Royal	guerrier		Creature		4	3	3	Charge. (Peux attaquer une creature des le tour ou cette carte est jouee)
Brigandin	guerrier		Creature		5	3	5	Celerite. (Peux attaquer des le tour ou cette carte est jouee)
Assaut Fatal	guerrier		Sort		6			Infligez X points de degats a la creature ciblee et recuperez XPVs, X etant le nombre de creatures adverses en jeu moins le nombre de creatures alliees en jeu. X ne peux pas etre en dessous de 1.
Vengeance Masquee	guerrier		Sort	Piege	7			Au moment ou une creature adverse attaque une cible, vous pouvez jouer gratuitement depuis votre main la creature de votre choix, la faire combattre a la place de la creature attaquee et la remettre dans votre main si elle ne meurt pas.
Danse des Lames	guerrier		Sort		8			Toutes les creatures alliees en jeu gagnent +2/+0 jusqu'a la fin du tour.
Chevalier au Cygne	guerrier		Creature		9	6	7	Celerite. (Peux attaquer des le tour ou cette carte est jouee)
Roland l'Immortel	guerrier		Creature		10	8	6	Si vous n'avez pas deja un Jeton du nom de "Durandal, Epee Sacree" en jeu, invoquez un Jeton du nom de "Durandal, Epee Sacree". Dans le cas contraire piochez deux cartes. Charge. (Peux attaquer une creature des le tour ou cette carte est jouee)
Plan B	guerrier		Sort		3			Piochez X cartes, X etant le nombre de creatures adverses en jeu moins le nombre de creatures alliees en jeu. X ne peux pas etre en dessous de 1.
Durandal, Epee Sacree	guerrier		Token		10			Ce Jeton est a considerer comme un Artefact. Tant que ce Jeton est en jeu, a chaque debut de tour infligez X Points de Degats a toutes les creatures adverses, X etant le nombre de creatures alliees en jeu.
