Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte
Fiole de Poison	voleur		Sort		1			La cible du sort perds 1PV a chaque debut de tour pendant 3 tours.
Rat de Laboratoire	voleur		Creature		2	1	3	Poison Mortel. (Si cette creature inflige des degats a une autre creature, cette derniere est systematiquement detruite. Si la cible de son attaque est un joueur donnez lui un marqueur poison. Au bout de 20 marqueurs poisons cumules, le joueur les possedants perds la partie.)
Piege a Serpent	voleur		Sort	Piege	3			Au moment ou une creature adverse attaque une cible, invoquez 3 Jetons Serpents 0/1 avec Poison Mortel. (Si cette creature inflige des degats a une autre creature, cette derniere est systematiquement detruite. Si la cible de son attaque est un joueur donnez lui un marqueur poison. Au bout de 20 marqueurs poisons cumules, le joueur les possedants perds la partie.) L'un de ces Jetons encaisse l'attaque a la place de la cible originelle.
Charmeur de Serpents	voleur		Creature		4	2	3	Invoquez 2 Jetons Serpents 0/1 avec Poison Mortel. (Si cette creature inflige des degats a une autre creature, cette derniere est systematiquement detruite. Si la cible de son attaque est un joueur donnez lui un marqueur poison. Au bout de 20 marqueurs poisons cumules, le joueur les possedants perds la partie.) 
Bague du Voleur de Sorts	voleur		Artefact		5			Si votre adversaire lance un sort ayant le sous-type Piege, vous pouvez decider de le contre-carrer et de le mettre dans votre main. Si vous faites ainsi, detruisez cet artefact.
Mort-aux-rats	voleur		Sort	Piege	6			Au moment ou une creature adverse attaque une cible, vous pouvez decider que la cible de votre choix perds 2PVs a chaque debut de tour pendant 3 tours.
Empoisonneur Cinglant	voleur		Creature		7	2	7	A chaque fois que cette creature attaque, sa cible perds 2PV a chaque debut de tour pendant 2 tours. Charge. (Peux attaquer une creature des le tour ou cette carte est jouee)
Medusa, Reine des Serpents	voleur		Creature		8	1	7	Tant que cette creature est en vie, invoquez 1 Jeton Serpent 0/1 avec Poison Mortel a la fin de chacun de vos tours. Poison Mortel. (Si cette creature inflige des degats a une autre creature, cette derniere est systematiquement detruite. Si la cible de son attaque est un joueur donnez lui un marqueur poison. Au bout de 20 marqueurs poisons cumules, le joueur les possedants perds la partie.)
Serpent Millenaire	voleur		Creature		9	0	X	Les PVs de cette creature sont egaux aux nombres de Jetons Serpents en jeu et de Marqueurs Poison sur tout les joueurs. Poison Mortel, Celerite. (Si cette creature inflige des degats a une autre creature, cette derniere est systematiquement detruite. Si la cible de son attaque est un joueur donnez lui un marqueur poison. Au bout de 20 marqueurs poisons cumules, le joueur les possedants perds la partie et cette creature peux attaquer des le tour ou elle est jouee)
Pudding a l'Arsenic	voleur		Sort		10			Inflige X points de degat au joueur adverse, X etant le nombre de marqueurs poisons de tout les joueurs.
Pioche Mortelle	voleur		Sort		3			Sacrifiez un Jeton Serpent que vous controlez : piochez une carte.
Jeton Serpent	voleur		Token		1	0	1	Poison Mortel. (Si cette creature inflige des degats a une autre creature, cette derniere est systematiquement detruite. Si la cible de son attaque est un joueur donnez lui un marqueur poison. Au bout de 20 marqueurs poisons cumules, le joueur les possedants perds la partie.)
