Name	Set	ImageFile	Type	Sub-Type	Cost	Attack	HPs	Text	ID
Bearer	warrior		Monster		1	2	1	Gain +0/+1 if this monster is attacked by an enemy monster with 1 Attack or less.	09-01-01
Fencer	warrior		Monster		2	3	1	Rush. (Can attack a monster the turn this card is played)	09-01-02
Lancer	warrior		Monster		3	2	3	Taunt. (If you want to attack the enemy player or another monster without taunt, you need to kill this one before.)	09-01-03
Royal Guard	warrior		Monster		4	3	3	Rush. (Can attack a monster the turn this card is played)	09-01-04
Brigandin	warrior		Monster		5	3	5	Celerity. (Can attack the turn this card is played)	09-01-05
Plan B	warrior		Spell		6			Draw X cards, X being the number of enemy monsters in play. X can't be less than 1.	09-01-06
Lethal Assault	warrior		Spell		7			Deal X damage to the targeted monster and recover XHPs, X being the number of allied monsters in play minus the number of enemy monsters in play. X can't be less than 1.	09-01-07
Dance of the Swords	warrior		Spell		8			All allied monsters in play gain +2/+0 until end of turn. Cost 1 less for each monster you control in play.	09-01-08
Swan Knight	warrior		Monster		9	6	7	Celerity. (Can attack the turn this card is played)	09-01-09
Roland the Immortal	warrior		Monster		10	8	10	If you don't already have a Durandal, Sacred Sword Token in play, summon a Durandal, Sacred Sword Token. Otherwise, draw 2 cards. Rush. (Can attack a monster the turn this card is played)	09-01-10
Hidden Revenge	warrior		Spell	Trap	5			When an enemy monster attack a target, you can play from your hand without paying it's cost the monster of your choice, make it battle in replacement of the attacked monster and put it back into your hand if it don't die.	09-01-11
Lancelot	warrior		Monster		9	5	7	On the turn this card come into play, it don't take any damage and can attack 2 times. Rush. (Can attack a monster the turn this card is played)	09-02-01
Percival	warrior		Monster	Grail	8	1	6	Taunt. (If you want to attack the enemy player or another monster without taunt, you need to kill this one before.)	09-02-02
Bors	warrior		Monster	Grail	7	4	4	Celerity. (Can attack the turn this card is played)	09-02-03
Galaad	warrior		Monster	Grail	6	5	7	Rush. (Can attack a monster the turn this card is played)	09-02-04
Quest of the Holy Grail	warrior		Spell		0			If you have at least 3 different monsters with the Grail sub-type, summon a Road to the Holy Grail Token if you don't already have one.	09-02-05
Excalibur, the Legendary Sword	warrior		Artifact		4			While this artifact is in play, switch the Attack and the HPs of all monsters. Sacrifice this artifact 5 turns after it was played.	09-02-06
Bait	warrior		Spell		3			The targeted enemy monster is forced to attack the targeted allied monster on the next turn of your opponent.	09-02-07
Hole	warrior		Spell	Trap	2			When an enemy monster attack a target, destroy the monster of your choice.	09-02-08
Kay	warrior		Monster		4	1	2	Gain +1/+1 for every artifact in play.	09-02-09
Gawain	warrior		Monster		6	5	7	Celerity. (Can attack the turn this card is played)	09-02-10
Karadoc	warrior		Monster		4	4	4	Each time this monster take damages it gain +1/+1. Taunt. (If you want to attack the enemy player or another monster without taunt, you need to kill this one before.)	09-02-11
Merlin	warrior		Monster		1	1	1	Search in your deck for a card with the "Grail" sub-type show it to your enemy and put it into your hand, then shuffle your deck.	09-03-01
Assault	warrior		Spell		3			Deal 2 damages to the targeted monster.	09-03-02
Rain of Arrows	warrior		Spell	Trap	4			When an enemy monster attack a target, deal 3 damages to all opponents monsters.	09-03-03
Assassin	warrior		Monster		2	2	1	Celerity. (Can attack the turn this card is played)	09-03-04
Executioner	warrior		Monster		4	2	3	Celerity. (Can attack the turn this card is played)	09-03-05
