Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte	ID
Tir Percant	archer		Sort		1			Inflige 2 points de degats a une creature.	02-01-01
Louveteau	archer		Creature	Bete	2	X	1	L'attaque de cette creature est egal au nombre de creatures ayant le sous-type "Bete" arrivees en jeu durant ce tour. Celerite. (Peux attaquer des le tour ou cette carte est jouee)	02-01-02
Invocation Bestiale	archer		Sort	Bete	2			Invoque 2 Jetons Loup 1/1 avec la Celerite. (Peux attaquer des le tour ou cette carte est jouee) Coute 1 de moins a jouer pour chaque creature ayant le sous-type "Bete" en jeu.	02-01-03
Louve Sentinelle	archer		Creature	Bete	4	1	2	Invoque 1 Jeton Loup 1/1 avec la Celerite. Celerite. (Peux attaquer des le tour ou cette carte est jouee) Coute 1 de moins a jouer pour chaque creature ayant le sous-type "Bete" en jeu.	02-01-04
Barrage Elfique	archer		Sort	Elfique	5			Inflige X points de degats a deux creatures adverses au choix. X etant le nombre de cartes en main.	02-01-05
Voies de la Nature	archer		Sort		6			Renvoie en main deux creatures alliees ayant le sous-type "Bete" au choix. Coute 1 de moins a jouer pour chaque creature ayant le sous-type "Bete" en jeu.	02-01-06
Chef de Meute	archer		Creature	Bete	7	3	1	Invoque 2 Jetons Loup 1/1 avec la Celerite. Celerite. (Peux attaquer des le tour ou cette carte est jouee) Coute 1 de moins a jouer pour chaque creature ayant le sous-type "Bete" en jeu.	02-01-07
L'Enfant qui criait au loup	archer		Creature		8	5	8	A chaque fois que cette creature attaque, inflige X points de degats a la creature ciblee, X etant le nombre de cartes dans votre main. Celerite. (Peux attaquer des le tour ou cette carte est jouee)	02-01-08
Ganesh, Roi des Betes	archer		Creature	Bete	8	X	X	X est egal au nombre de cartes dans votre main. Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature)	02-01-09
Rappel de la Nature	archer		Sort		15			Renvoie en main toutes les creatures alliees ayant le sous-type "Bete" en jeu et reduit leur cout a 0. Coute 1 de moins a jouer pour chaque creature ayant le sous-type "Bete" en jeu, ne peux couter que 6 Points de Mana au minimum.	02-01-10
Fier Traqueur	archer		Creature	Bete	3	2	3	Celerite. (Peux attaquer des le tour ou cette carte est jouee)	02-01-11
Symbiose	archer		Sort		10			Rajoutez les deux sorts de votre choix depuis votre defausse a votre main. Coute 1 de moins a jouer pour chaque creature ayant le sous-type "Bete" en jeu.	02-02-01
Tir de Barrage	archer		Sort		4			Inflige 4 points de degats a toutes les creatures adverses.	02-02-02
Gardien Elfique	archer		Creature	Elfique	2	1	3	Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature)	02-02-03
Appel Elfique	archer		Artefact	Elfique	6			A chaque fois que vous jouez une carte ayant le sous-type "Elfique", infligez X points de degats a la creature cible, X etant le cout en mana de la carte jouee.	02-02-04
Sage Elfe	archer		Creature	Elfique	8	3	3	Tant que cette creature est en jeu vous recuperez un point de mana pour chaque carte ayant le sous-type "Elfique" que vous jouez.	02-02-05
Archeologue Elfe	archer		Creature	Elfique	1	1	1	Cherchez dans votre deck une carte ayant le sous-type "Elfique", montrez-la a votre adversaire et mettez-la dans votre main, melangez ensuite votre deck.	02-02-06
Sacrifice Elfique	archer		Sort	Elfique	7			Sacrifiez et defaussez de votre main autant de cartes ayant le sous-type "Elfique" que vous-voulez puis infligez X points de degats a toutes les creatures adverses et au joueur adverse.	02-02-07
Elfe Occulte	archer		Creature	Elfique	10	1	1	Au moment d'arriver en jeu, toutes vos cartes ayant le sous-type "Elfique" coutent 0 de mana pour le tour en cours.	02-02-08
Elfe Artificier	archer		Creature	Elfique	4	1	3	Tant que cette creature est en jeu, au debut de chacun de vos tours invoquez un Jeton Bombe Elfique 0/1 ayant le sous-type "Elfique" avec "Quand ce Jeton meurt, infligez 1 point de degat a la cible.".	02-02-09
Fabrique d'Artifices Elfes	archer		Artefact	Elfique	6			A chaque fois que vous jouez une carte ayant le sous-type "Elfique", invoquez 2 Jetons Bombe Elfique 0/1 ayant le sous-type "Elfique" avec "Quand ce Jeton meurt, infligez 1 point de degat a la cible.".	02-02-10
Lac aux Fees	archer		Artefact		4			A la fin de chacun de vos tours, si vous avez au moins un point de mana restant vous pouvez le depenser pour que le joueur cible piocher une carte. Cet effet est utilisable qu'une fois par tour et n'est pas cumulable avec d'autres "Lac aux Fees".	02-02-11
Chasseur Sauvage	archer		Creature	Bete	1	1	1	Cherchez dans votre deck une carte ayant le sous-type "Bete", montrez-la a votre adversaire et mettez-la dans votre main, melangez ensuite votre deck.	02-03-01
Protecteur de la Foret	archer		Creature	Bete	5	4	5	Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature) Charge. (Peux attaquer une creature des le tour ou cette carte est jouee)	02-03-02
Appel de la Meute	archer		Sort	Bete	8			Invoque autant de Jetons Loup 1/1 avec la Celerite (Peux attaquer des le tour ou cette carte est jouee) que de cartes avec le sous-type "Bete" en jeu, dans votre main et dans votre defausse.	02-03-03
Croissance	archer		Sort		11			Piochez 3 cartes. Coute 1 de moins a jouer pour chaque carte dans votre defausse.	02-03-04
Abomination de la Foret	archer		Creature		20	10	10	Banissez cettre creature a la fin de votre tour si elle a attaquee. Si elle n'a pas attaquee, sacrifiez la a moins que vous sacrifiez trois autres creatures que vous controlez. Coute 1 de moins a jouer pour chaque carte dans votre defausse. Si vous jouez cette creature pour 0, elle gagne la Celerite. (Peux attaquer des le tour ou cette carte est jouee)	02-03-05
