Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte	ID
Zombie	necromancien		Creature	Zombie	1	1	1	Quand cette creature est mise dans la defausse depuis le jeu, remettez-la en jeu dans 2 tours.	04-01-01
Fauche-Vie	necromancien		Creature	Zombie	2	1	3	A chaque fois que cette creature attaque, invoquez un jeton 1/1 ayant le sous-type "Zombie" et defaussez les deux cartes du dessus du deck adverse.	04-01-02
Rite Sacrificiel	necromancien		Sort		3			Reinvoque depuis la defausse une creature ayant le sous-type "Zombie" au choix.	04-01-03
Corbeau Charognard	necromancien		Creature	Zombie	4	4	1	Sacrifiez une creature alliee ayant le sous-type "Zombie" : donnez a la creature allie de votre choix la Celerite. (Peux attaquer des le tour ou cette carte est jouee)	04-01-04
Horde de Zombie	necromancien		Creature	Zombie	5	0	4	Provocation (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature) Cette creature ne peux recevoir que 3 points de degats a la fois. A chaque fois que cette creature recois des degats, invoquez un jeton 1/1 ayant le sous-type "Zombie" et defaussez les deux cartes du dessus du deck adverse.	04-01-05
Chevaucheur de Cerberes	necromancien		Creature	Zombie	6	3	4	Quand une creature ayant le sous-type "Zombie" meurt, le joueur adverse defausse les deux cartes du dessus de son deck.	04-01-06
Satan	necromancien		Creature		7	7	7	Si vous avez un artefact ayant le nom "Jugement Dernier" dans votre deck, piochez des cartes jusqu'a l'obtenir puis defaussez votre deck et mettez votre main dans votre deck. Melangez ensuite votre deck. Charge. (Peux attaquer une creature des le tour ou cette carte est jouee)	04-01-07
Zombie Changeforme	necromancien		Creature	Zombie	8	X	X	L'attaque et les PVs de cette creature sont egaux au nombre de creatures ayant le sous-type "Zombie" en jeu. Coute 1 de moins a jouer pour chaque creature avec le sous-type "Zombie" en jeu.	04-01-08
Immortel Cracheur de Feu	necromancien		Creature	Zombie	9	5	5	Tant que cette creature est en vie et a la fin du tour de votre adversaire, defausse les deux cartes de sa main les plus a gauche et les deux cartes de sa main les plus a droite.	04-01-09
Jugement Dernier	necromancien		Artefact		8			Si a la fin de votre tour vous n'avez aucune carte dans votre deck, infligez X points de degats au joueur adverse, X etant le nombre de cartes dans votre defausse.	04-01-10
Vers l'au-dela	necromancien		Artefact		2			Au debut de chacun de vos tours, invoquez un jeton 1/1 ayant le sous-type "Zombie" (Ce jeton n'est pas affecte par le mal d'invocation) et defaussez la carte du dessus du deck adverse. Si vous avez cette carte dans votre defausse, vous pouvez la jouer depuis votre defausse pour son cout de mana.	04-01-11
Rite Satanique	necromancien		Sort		4			Si vous avez une creatrure ayant le nom "Satan" dans votre deck, sacrifiez 3 creatures alliees ayant le sous-type "Zombie" et allez chercher dans votre deck une creature ayant le nom "Satan", melangez ensuite votre deck.	04-02-01
