Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte	ID
Chercheur Gobelin	neutre		Creature	Gobelin	1	1	2	Piochez une carte.	10-01-01
Scout Gobelin	neutre		Creature	Gobelin	2	2	1	Tant que cette creature est en vie, donne Charge a toutes les creatures ayant le sous-type "Gobelin" qui arrivent en jeu et qui sont en jeu. Charge. (Peux attaquer une creature des le tour ou cette carte est jouee)	10-01-02
Chaman Gobelin	neutre		Creature	Gobelin	3	1	3	A chaque fois qu'une creature ayant le sous-type "Gobelin" arrive en jeu, rends 1PV au proprietaire de cette carte.	10-01-03
Chef de Guerre Gobelin	neutre		Creature	Gobelin	4	2	3	Tant que cette creature est en vie, donne +1/+0 a toutes les creatures ayant le sous-type "Gobelin" qui arrivent en jeu et qui sont en jeu.	10-01-04
Princesse Gobeline	neutre		Creature	Gobelin	5	2	2	Invoque un jeton Gobelin 1/1 ayant Provocation (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature) avec le sous-type "Gobelin" en arrivant en jeu.	10-01-05
Roi des Gobelins	neutre		Creature	Gobelin	6	3	3	Invoque deux jetons Gobelins 1/1 ayant Provocation (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature) avec le sous-type "Gobelin" en arrivant en jeu.	10-01-06
Architecte Gobelin	neutre		Creature	Gobelin	4	1	1	Piochez une carte pour chaque creature avec le sous-type "Gobelin" en jeu.	10-01-07
Embuscade Gobeline	neutre		Sort	Piege	3			Si une creature attaque une autre creature avec le sous-type "Gobelin", lui inflige X degats, X etant le nombre de creatures avec le sous-type "Gobelin" en jeu.	10-01-08
Gobelin Devoue	neutre		Creature	Gobelin	4	1	3	A chaque fois que vous utilisez une capacitee de Devotion vous recuperez 1 Point de Mana.	10-02-01
Mage Gobeline	neutre		Creature	Gobelin	5	1	3	Gagne +1/+1 pour le tour en cours pour chaque carte que vous jouez grace a la capacitee Combo.	10-02-02
Gobelin Demineur	neutre		Creature	Gobelin	3	1	3	A chaque fois que vous utilisez une capacitee de Deminage, cherchez dans votre deck une carte ayant le sous-type "Piege", montrez-la a votre adversaire et mettez-la dans votre main, melangez ensuite votre deck.	10-02-03
Attaque Gobeline	neutre		Sort		10			Inflige X points de degats a la cible, X etant le nombre de creatures ayant le sous-type "Gobelin" en jeu.	10-02-04
Medecine Gobeline	neutre		Sort		6			Rends X PVs a la cible, X etant le nombre de creatures ayant le sous-type "Gobelin" en jeu.	10-02-05
Gobelin Suceur de Sang	neutre		Creature	Gobelin	4	1	3	Gagne +1/+1 pour le tour en cours a chaque fois que vous utilisez une capacitee de Succion.	10-02-06
Lancer de Couteaux	neutre		Sort		4			Infligez 3 fois 1 Point de Degat reparti comme vous le souhaitez entre 1, 2 ou 3 cibles.	10-02-07
Stratege Gobelin	neutre		Creature	Gobelin	1	1	1	Cherchez dans votre deck une carte ayant le sous-type "Gobelin", montrez-la a votre adversaire et mettez-la dans votre main, melangez ensuite votre deck.	10-02-08
Chasseur Gobelin	neutre		Creature	Gobelin	3	2	2	Infligez 2 points de degats a la cible.	10-02-09
Demon Gobelin	neutre		Creature	Gobelin	4	1	3	Gagne +2/+0 pour le tour en cours a chaque fois que vous utilisez une capacitee de Banissement ou de Rassemblement.	10-03-01
Appel Gobelin	neutre		Sort		14			Invoque X Jetons Gobelins 1/1 ayant Provocation (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature) avec le sous-type "Gobelin". X est egal au nombre de creatures avec le sous-type "Gobelin" en jeu. Coute 1 de moins a jouer pour chaque carte neutre dans votre main, votre defausse et en jeu.	10-03-02
Escrimeur Gobelin	neutre		Creature	Gobelin	2	1	1	Tant que cette creature est en vie, donne Celerite a toutes les creatures ayant le sous-type "Gobelin" qui arrivent en jeu et qui sont en jeu. Celerite. (Peux attaquer des le tour ou cette carte est jouee)	10-03-03
Muraille Gobeline	neutre		Artefact	Gobelin	20			Tant que cet artefact est en jeu, a chaque fois que vous jouez une carte Neutre ou qu'un Jeton arrive en jeu infligez 1 point de degat a la cible de votre choix. Coute 1 de moins a jouer pour chaque carte neutre dans votre main, votre defausse et en jeu.	10-03-04
Tir Gobelin	neutre		Sort		1			Inflige 1 point de degat a la cible.	10-03-05
