Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte	ID
Bouclier Protecteur	paladin		Sort		1			Donne +0/+1 a la cible.	05-01-01
Chevalier	paladin		Creature	Paladin	2	1	2	Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature)	05-01-02
Croise	paladin		Creature	Paladin	3	1	3	Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature.)	05-01-03
Cadet Impatient	paladin		Creature	Paladin	4	3	2	Celerite. (Peux attaquer des le tour ou cette carte est jouee) A chaque fois que cette creature inflige des degats au joueur adverse, toutes vos creatures ayant le sous-type "Paladin" qui sont en jeu gagnent +1/+1 jusqu'a la fin du tour.	05-01-04
Roi Arthur	paladin		Creature	Paladin	5	3	5	Toutes les creatures ayant le sous-type "Paladin" qui sont dans votre main coutent 1 de moins a jouer et toutes les creatures ayant le sous-type "Paladin" qui sont en jeu et qui arrivent en jeu gagnent +0/+1.	05-01-05
Conseil de la Table Ronde	paladin		Sort		6			Vous pouvez jouer une carte ayant le sous-type "Paladin" gratuitement depuis votre main. Elle gagne Charge pour le tour en cours et reviens dans votre main a la fin de votre tour. (Peux attaquer une creature des le tour ou cette carte est jouee)	05-01-06
Brigadier des Plaines	paladin		Creature	Paladin	7	4	5	A chaque fois qu'une creature ayant le sous-type "Paladin" meurt, vous recuperez 1PV. Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature)	05-01-07
Escrimeur Perce-Vent	paladin		Creature	Paladin	8	X	X	X est egal au nombre de creatures ayant le sous-type "Paladin" en jeu. Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature)	05-01-08
Priere	paladin		Sort		9			Inflige X points de degats a la cible. X etant le nombre de creature avec le sous-type "Paladin" en jeu.	05-01-09
Jeanne d'Arc	paladin		Creature	Paladin	10	3	10	Vos creatures ont +X/-Y pour le tour en cours, X etant leurs PVs et Y leur attaque.	05-01-10
Chevalier Blanc	paladin		Creature	Paladin	25	1	1	Vous gagnez la partie. Coute 1 de moins a jouer pour chaque creature avec le sous-type "Paladin" dans votre main, dans votre defausse et en jeu.	05-01-11
Commandant de la Garde Ambree	paladin		Creature	Paladin	3	1	2	Invoquez deux Jetons Officier 1/2 ayant le sous-type "Paladin".	05-02-01
Chef de la Garde Ambree	paladin		Creature	Paladin	4	2	3	Invoquez trois Jetons Officier 1/2 ayant le sous-type "Paladin".	05-02-02
Appel de la Garde Ambree	paladin		Sort		5			Invoquez X Jetons Officier 1/2 ayant le sous-type "Paladin", X etant le nombre de creatures ayant le sous-type "Paladin" en jeu.	05-02-03
Caserne de la Garde Ambree	paladin		Artefact		6			Au debut de chacun de vos tours, invoquez deux Jetons Officiers 1/2 ayant le sous-type "Paladin".	05-02-04
General de la Garde Ambree	paladin		Creature	Paladin	6	1	1	Gagne +1/+1 pour chaque Jeton Officier 1/2 ayant le sous-type "Paladin" en jeu.	05-02-05
Banniere de Ralliement de la Garde Ambree	paladin		Artefact		4			Donne +1/+0 a tout les Jetons Officier.	05-02-06
Inversion	paladin		Sort	Piege	4			Au moment ou une creature adverse attaque une creature alliee, inversez l'attaque et les PVs entre les deux creatures.	05-02-07
Lieutenant de la Garde Ambree	paladin		Creature	Paladin	5	3	4	Cherchez dans votre deck une carte ayant dans son nom "de la Garde Ambree", montrez-la a votre adversaire et mettez-la dans votre main, melangez ensuite votre deck.	05-02-08
Chevalier de la Garde Ambree	paladin		Creature	Paladin	6	4	6	Celerite. (Peux attaquer des le tour ou cette carte est jouee)	05-02-09
Soldat de la Garde Ambree	paladin		Creature	Paladin	1	1	1	Celerite. (Peux attaquer des le tour ou cette carte est jouee)	05-02-10
Armure de la Garde Ambree	paladin		Sort		3			Donne +1/+2 a la cible.	05-02-11
Embuscade de la Garde Ambree	paladin		Sort	Piege	3			Au moment ou une creature adverse attaque, invoquez quatre Jetons Officier 1/2 ayant le sous-type "Paladin".	05-03-01
Percepteur de la Garde Ambree	paladin		Creature	Paladin	8	X	4	X est egal au montant de PVs le plus eleve parmis toutes les creatures en jeu. Celerite. (Peux attaquer des le tour ou cette carte est jouee)	05-03-02
Recrue de la Garde Ambree	paladin		Creature	Paladin	1	1	1	Cherchez dans votre deck une carte ayant le sous-type "Paladin", montrez-la a votre adversaire et mettez-la dans votre main, melangez ensuite votre deck.	05-03-03
Sous-Effectif	paladin		Sort		4			Choisissez une carte dans votre main : elle coute 2 de moins a jouer. Invoquez un Jeton Officier 1/2 ayant le sous-type "Paladin".	05-03-04
Blitzkrieg	paladin		Sort		17			Donnez la Celerite a la creature ciblee. (Peux attaquer des le tour ou cette carte est jouee) Coute 1 de moins a jouer pour chaque carte en jeu.	05-03-05
