Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte
Bandit des Sables	moine		Creature		1	0	3	Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature)
Concentration	moine		Sort		2			Donnez-vous 1 Point de Mana vide supplementaire.
Recherche Spirituelle	moine		Sort		3			Piochez 1 carte et reduisez son cout de 1 Point de Mana.
Al, le Voleur d'Enfants	moine		Creature		4	2	2	Prennez le controle de la creature ciblee coutant 3 Points de Mana ou moins, vous pouvez attaquer avec.
Meditation	moine		Sort		5			Piochez X cartes et donnez-vous 2 Points de Mana vides supplementaires, X etant le nombre de Points de Mana maximums que vous avez moins le nombre de Points de Mana maximums que votre adversaire possede.
Sablier de la Verite	moine		Artefact		6			Tant que cet artefact est en jeu, a tout moment ou un Artefact est joue vous pouvez decider de le bannir. Si vous le faites, detruisez le Sablier de la Verite.
Maitre Shaolin	moine		Creature		7	1	6	Rends X PVs a la cible, X etant l'attaque de la creature la plus forte en jeu. Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature)
Prince du Temps	moine		Creature		8	1	1	Revenez un tour en arriere, cette creature et les statistiques ne sont pas affectes par le voyage dans le temps.
Verethragna	moine		Creature		9	4	5	La creature alliee ciblee recupere tout ses PVs et peux attaquer de nouveau pour ce tour-ci si elle avait deja attaque, en contrepartie, elle ne pourra pas attaquer au prochain tour
Shadhahvar, la Licorne Carnivore	moine		Creature		10	X	X	L'Attaque et les PVs de cette creature sont egaux aux nombres de tours joués sur cette partie. Charge. (Peux attaquer une creature des le tour ou cette carte est jouee)
Sacrifice Mental	moine		Sort	Piege	3			Au moment ou une creature adverse attaque une cible, vous pouvez sacrifier 1 Point de Mana maximum. Si vous faites ainsi, annulez totalement l'attaque de cette creature et detruisez-la.
