Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte
Soin	pretre		Sort		1			Rends 1PV a la cible. Si son sous-type est le sous-type Zombie, lui inflige 2 degats.
Pretre de la Cour	pretre		Creature		2	1	3	Rends 2PVs a la cible. Si son sous-type est le sous-type Zombie, bannissez-le a la place.
Temple de la Calamite	pretre		Artefact		3			Tant que c'est votre tour, toutes les creatures en jeu infligent des degats en fonction de leurs PVs. Cette carte reste en jeu pendant 3 tours.
Cure Cingle	pretre		Creature		4	3	4	Bannis une creature avec des PVs inferieurs ou egaux a 2.
Regeneration	pretre		Sort		5			Rends 2PVs par tour a la cible du sort pendant 3 tours. Si son sous-type est le sous-type Zombie, bannissez-le a la place et piochez une carte.
Mauvais Oeil	pretre		Sort		6			Piochez 4 cartes, defaussez-vous ensuite de 3 cartes.
Pretre de la Destruction	pretre		Creature		1	0	1	A chaque fois que vous recuperez des points de vie, infligez autant de degats au joueur adverse que de PVs soignes.
Colere de Dieu	pretre		Sort		6			Bannissez toutes les creatures et tout les artefacts en jeu. Ce sort ne peux pas etre contre-carre.
Eclair de Zeus	pretre		Sort		4			Infligez 3 degats a la creature ciblee et a chaque copie de cette creature. Si son sous-type est le sous-type Zombie, bannissez-les a la place.
Reconstitution	pretre		Sort		8			Rends X PVs a la cible, X etant le nombre de cartes en jeu. Si son sous-type est le sous-type Zombie, lui inflige X degats et vous piochez X cartes.
Enfant de Choeur	pretre		Creature		3	2	4	Inflige X points de degats a la cible, X etant le nombre de cartes adverses bannies.
