Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte
Bouclier Protecteur	paladin		Sort		1			Donne +0/+2 a la cible.
Chevalier	paladin		Creature	Paladin	2	1	4	A chaque fois que cette creature recois une augmentation de statistique, obtiens Provocation jusqu'au debut de votre prochain tour. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature)
Croise	paladin		Creature	Paladin	3	1	5	Provocation, Drain. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature et la moitie des degats (arrondi a l'inferieur) que cette creature inflige, qu'elle soit attaquante ou bloqueuse, vous sont rendus en PVs.)
Cadet Impatient	paladin		Creature	Paladin	4	2	1	Celerite. (Peux attaquer des le tour ou cette carte est jouee) A chaque fois que cette creature inflige des degats au joueur adverse, toutes vos creatures ayant le sous-type Paladin qui sont en jeu gagnent +0/+1 jusqu'à la fin du tour.
Roi Arthur	paladin		Creature	Paladin	5	3	5	Toutes les creatures ayant le sous-type Paladin qui sont dans votre main coutent 1 de moins a jouer et toutes les creatures ayant le sous-type Paladin qui sont en jeu et qui arrivent en jeu gagnent +0/+2.
Conseil de la Table Ronde	paladin		Sort		6			Vous pouvez jouer une carte ayant le sous-type Paladin gratuitement depuis votre main. Elle gagne Charge pour le tour en cours et reviens dans votre main a la fin de votre tour. (Peux attaquer une creature des le tour ou cette carte est jouee)
Brigadier des Plaines	paladin		Creature	Paladin	7	4	7	A chaque fois qu'une creature ayant le sous-type Paladin meurt, vous recuperez 1PV. Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature)
Escrimeur Perce-Vent	paladin		Creature	Paladin	8	0	X	Les PVs de cette creature sont egaux au nombre de creatures ayant le sous-type Paladin en jeu. Ne peux recevoir que 4 points de degats a la fois. Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature)
Priere	paladin		Sort		9			Inflige X points de degats a la cible. X etant le nombre de creature avec le sous-type Paladin en jeu.
Jeanne d'Arc	paladin		Creature	Paladin	10	3	10	Vos creatures ont +X/-Y pour le tour en cours, X etant leurs PVs et Y leur attaque.
Chevalier Blanc	paladin		Creature	Paladin	10	1	1	Si au debut de votre tour vous avez 10 creatures avec le sous-type Paladin en jeu et que cette creature est en jeu, vous gagnez la partie.
