Name	Set	ImageFile	Type	Sub-Type	Cost	Attack	HPs	Text
Piercing Shot	marksman		Spell		1			Deal 2 damages to a creature.
Cub	marksman		Monster	Beast	2	X	1	The attack of this creature is equal to the number of creatures with the Beast sub-type that came in play this turn. Celerity. (Can attack the turn this card is played)
Bestial Summon	marksman		Spell		3			Summon 2 Wolf Tokens 1/1 with Celerity. (Can attack the turn this card is played) Cost 1 less to play for each monster with the Beast sub-type in play.
Sentry Wolf	marksman		Monster	Beast	4	1	2	Summon 1 Wolf Token 1/1 with Celerity. Celerity. (Can attack the turn this card is played) Cost 1 less to play for each monster with the Beast sub-type in play.
Elvish Barrage	marksman		Spell	Elvish	5			Deal X damages to 2 enemy monsters of your choice. X is equal to the number of card in your hand.
Paths of Nature	marksman		Spell		6			Return in your hand 2 allied monsters of your choice with the Beast sub-type. Cost 1 less to play for each monster with the Beast sub-type in play.
Wolf Leader	marksman		Monster	Beast	7	3	1	Summon 2 Wolf Tokens 1/1 with Celerity. Celerity. (Can attack the turn this card is played) Cost 1 less to play for each monster with the Beast sub-type in play.
The Boy who cried Wolf	marksman		Monster		8	1	8	Each time this monster attack, deal X damage to the creature of your choice, X is equal to the number of cards in your hand. Celerity. (Can attack the turn this card is played)
Ganesh, King of the Beasts	marksman		Monster	Beast	9	0	X	The HPs of this monster are equal to the number of card in your hand. Taunt. (If you want to attack the enemy player or another monster without taunt, you need to kill this one before.)
Nature Recall	marksman		Spell		15			Return in your hand all allied monsters that have the Beast sub-type and makes them cost 0. Cost 1 less to play for each monster with the Beast sub-type in play but the cost can't be lower than 6.
Proud Tracker	marksman		Monster	Beast	3	2	3	Celerity. (Can attack the turn this card is played)
Symbiosis	marksman		Spell		10			Add 2 spells of your choice from your discard to your hand. Cost 1 less to play for each monster with the Beast sub-type in play.
Barrage Shot	marksman		Spell		4			Deal 4 points of damage to all enemy monster.
Elvish Guardian	marksman		Monster	Elvish	2	1	3	Taunt. (If you want to attack the enemy player or another monster without taunt, you need to kill this one before.)
Elvish Call	marksman		Artifact	Elvish	6			Each time you cast a spell, deal X damages to a monster, X being the cost of the casted spell.
Elf Sage	marksman		Monster	Elvish	8	3	3	While this monster is in play, recover 1 Mana Point each time you play a spell with the Elvish sub-type.
Elf Archaeologist	marksman		Monster	Elvish	1	0	1	Search in your deck for a card with the Elvish sub-type, show it to your enemy and put it into your hand, then shuffle your deck.
Elvish Sacrifice	marksman		Spell	Elvish	7			Sacrifice from play and/or discard from your hand as many card with the Elvish sub-type as you want then deal X damages to the enemy player and all his monsters.
Dark Elf	marksman		Monster	Elvish	10	1	1	When this card come into play, all your cards with the Elvish sub-type cost 0 for the rest of the turn.
Elfe Artificer	marksman		Monster	Elvish	4	1	3	While this monster is in play, at the start of each of your turns summon a Elvish Bomb Token 0/1 with the Elvish sub-type and "When this Token dies, deal 1 damage to the target of your choice.".
Elf's Firework Factory	marksman		Artifact	Elvish	6			Each time you play a card with the Elvish sub-type, summon a Elvish Bomb Token 0/1 with the Elvish sub-type and "When this Token dies, deal 1 damage to the target of your choice.".
Fairy Lake	marksman		Artifact		4			At the end of each of your turns, if you have at least 1 Mana Point left, you can use it to draw a card.
