Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte
Bandit des Sables	moine		Creature		1	0	2	Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature)
Concentration	moine		Sort		2			Donnez-vous 1 Point de Mana vide supplementaire.
Recherche Spirituelle	moine		Sort		3			Piochez 1 carte et reduisez son cout de 1 Point de Mana.
Al, le Voleur d'Enfants	moine		Creature		4	2	2	Prennez le controle de la creature ciblee coutant 3 Points de Mana ou moins, vous pouvez attaquer avec.
Meditation	moine		Sort		5			Piochez X cartes et donnez-vous 1 Point de Mana vide supplementaire, X etant le nombre de Points de Mana maximums que vous avez moins le nombre de Points de Mana maximums que votre adversaire possede.
Sablier de la Verite	moine		Artefact		6			Tant que cet artefact est en jeu, a tout moment ou un Artefact est joue vous pouvez decider de le bannir. Si vous le faites, detruisez le Sablier de la Verite.
Maitre Shaolin	moine		Creature		7	1	5	Rends X PVs a la cible, X etant l'attaque de la creature la plus forte en jeu. Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature) Grandeur 2. (A chaque fois que vous lancez un sort, cette creature gagne +2/+0 jusqu'a la fin du tour.)
Prince du Temps	moine		Creature		8	1	1	La partie recommence depuis le debut, cependant cette carte et toutes les iterations de cette derniere sont mis dans la pile des cartes bannies juste avant le second debut de la partie. Tant que cette carte est dans la pile des cartes bannies vous subissez un point de degat par tour mais piochez une carte en plus a chaqu'un de vos debut de tour, cet effet n'est pas cumulable si vous avez plusieurs iterations du Prince du Temps dans la pile des cartes bannies.
Verethragna	moine		Creature		9	4	5	La creature alliee ciblee recupere tout ses PVs et peux attaquer de nouveau pour ce tour-ci si elle avait deja attaque, en contrepartie, elle ne pourra pas attaquer au prochain tour
Shadhahvar, la Licorne Carnivore	moine		Creature		10	X	X	L'Attaque et les PVs de cette creature sont egaux aux nombres de tours joues sur cette partie. Charge. (Peux attaquer une creature des le tour ou cette carte est jouee)
Sacrifice Mental	moine		Sort	Piege	3			Au moment ou une creature adverse attaque une cible, vous pouvez sacrifier 1 Point de Mana maximum. Si vous faites ainsi, annulez totalement l'attaque de cette creature et detruisez-la.
Apprenti Shaolin	moine		Creature		4	2	3	Grandeur 1. (A chaque fois que vous lancez un sort, cette creature gagne +1/+0 jusqu'a la fin du tour.)
Protecteur du Temple	moine		Creature		1	1	2	Grandeur 1. (A chaque fois que vous lancez un sort, cette creature gagne +1/+0 jusqu'a la fin du tour.)
Moine Purificateur	moine		Creature		2	1	3	Charge. Grandeur 1. (A chaque fois que vous lancez un sort, cette creature gagne +1/+0 jusqu'a la fin du tour.)
Mirroir Reflecteur	moine		Sort	Piege	2			Au moment ou un artefact ou un sort est joue, vous pouvez sacrifier 1 Point de Mana maximum. Si vous faites ainsi et que la cible etait un artefact, il est directement detruit sans effectuer le moindre effet; si la cible etait un sort, il est contrecarre.
Treve	moine		Sort	Piege	5			Au moment ou une creature adverse attaque une cible, vous pouvez sacrifier 1 Point de Mana maximum. Si vous faites ainsi, aucune creature n'inflige de degats a qui que ce soit pour le tour en cours.
Maitre d'Arme	moine		Creature		3	1	1	Cherchez dans votre deck un Sort ayant le sous-type "Piege", montrez-le a votre adversaire et mettez-le dans votre main, melangez ensuite votre deck. Grandeur 1. (A chaque fois que vous lancez un sort, cette creature gagne +1/+0 jusqu'a la fin du tour.)
Guerrier Shaolin	moine		Creature		5	1	1	Grandeur 2. (A chaque fois que vous lancez un sort, cette creature gagne +2/+0 jusqu'a la fin du tour.) Celerite. (Peux attaquer des le tour ou cette carte est jouee)
Temple Shaolin	moine		Artefact		6			Tant que cet Artefact est en jeu, toutes les creatures qui sont en jeu et qui arrivent en jeu ont "Grandeur X (A chaque fois que vous lancez un sort, cette creature gagne +X/+0 jusqu'a la fin du tour.), X etant le nombre de creatures en jeu.". Sacrifiez cet artefact a la fin de votre tour.
Defense du Temple	moine		Sort	Piege	4			Au moment ou une creature adverse attaque une creature alliee, choisissez une creature adverse attaquante et une creature alliee attaquee, si la creature alliee est une creature non-neutre, elle gagne +1/+2 et si la creature attaquante est une creature neutre, elle gagne -2/-1.
Comptable du Temple	moine		Creature		6	3	3	Devotion 1 : Piochez une carte. (Payez 1 Point de Mana et defaussez-vous de 1 carte de votre main pour activer cet effet.)
Tempete de Sable	moine		Sort		6			Infligez 3 Points de Degats a toutes les creatures et 2 Points de Degats supplementaires a la cible du sort.
