Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte
Chercheur Gobelin	neutre		Creature	Gobelin	1	1	2	Piochez une carte.
Scout Gobelin	neutre		Creature	Gobelin	2	2	1	Tant que cette creature est en vie, donne Charge a toutes les creatures ayant le sous-type Gobelin qui arrivent en jeu et qui sont en jeu. Charge. (Peux attaquer une creature des le tour ou cette carte est jouee)
Chaman Gobelin	neutre		Creature	Gobelin	3	1	3	A chaque fois qu'une creature ayant le sous-type Gobelin arrive en jeu, rends 1PV au proprietaire de cette carte.
Chef de Guerre Gobelin	neutre		Creature	Gobelin	4	2	3	Tant que cette creature est en vie, donne +1/+0 a toutes les creatures ayant le sous-type Gobelin qui arrivent en jeu et qui sont en jeu.
Princesse Gobeline	neutre		Creature	Gobelin	5	2	2	Invoque un jeton Gobelin 1/1 ayant Provocation (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature) avec le sous-type Gobelin en arrivant en jeu.
Roi des Gobelins	neutre		Creature	Gobelin	6	3	3	Invoque deux jetons Gobelins 1/1 ayant Provocation (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature) avec le sous-type Gobelin en arrivant en jeu.
Architecte Gobelin	neutre		Creature	Gobelin	4	1	1	Piochez une carte pour chaque creature avec le sous-type Gobelin en jeu.
Embuscade Gobeline	neutre		Sort	Piege	3			Si une creature attaque une autre creature avec le sous-type Gobelin, lui inflige X degats, X etant le nombre de creatures avec le sous-type Gobelin en jeu.
Gobelin Devoue	neutre		Creature	Gobelin	4	1	3	A chaque fois que vous utilisez une capacitee de Devotion vous recuperez 1 Point de Mana.
Mage Gobeline	neutre		Creature	Gobelin	5	1	3	Gagne +1/+1 pour le tour en cours pour chaque carte que vous jouez grace a la capacitee Combo.
Gobelin Demineur	neutre		Creature	Gobelin	3	1	3	A chaque fois que vous utilisez une capacitee de Deminage, cherchez dans votre deck une carte ayant le sous-type "Piege", montrez-la a votre adversaire et mettez-la dans votre main, melangez ensuite votre deck.
Attaque Gobeline	neutre		Sort		10			Inflige X points de degats a la cible, X etant le nombre de creatures ayant le sous-type "Gobelin" en jeu.
Medecine Gobeline	neutre		Sort		6			Rends X PVs a la cible, X etant le nombre de creatures ayant le sous-type "Gobelin" en jeu.
Gobelin Suceur de Sang	neutre		Creature	Gobelin	4	1	3	Gagne +1/+1 pour le tour en cours a chaque fois que vous utilisez une capacitee de Succion.
Lancer de Couteaux	neutre		Sort		4			Infligez 3 fois 1 Point de Degat reparti comme vous le souhaitez entre 1, 2 ou 3 cibles.
Stratege Gobelin	neutre		Creature	Gobelin	1	1	1	Cherchez dans votre deck une carte ayant le sous-type "Gobelin", montrez-la a votre adversaire et mettez-la dans votre main, melangez ensuite votre deck.
Chasseur Gobelin	neutre		Creature	Gobelin	3	2	2	Infligez 2 points de degats a la cible.
