Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte
Fiole de Poison	voleur		Sort		1			Le joueur cible obtient 2 Marqueurs Poison. (Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un.)
Rat de Laboratoire	voleur		Creature		2	1	3	Poison Mortel. (Si cette creature inflige des degats a une autre creature, cette derniere est systematiquement detruite. Si la cible de son attaque est un joueur donnez lui autant de marqueur poison que de degats subits. Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un.)
Piege a Serpent	voleur		Sort	Piege	3			Au moment ou une creature adverse attaque une cible, invoquez 3 Jetons Serpents 1/1 avec Poison Mortel. (Si cette creature inflige des degats a une autre creature, cette derniere est systematiquement detruite. Si la cible de son attaque est un joueur donnez lui autant de marqueur poison que de degats subits. Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un.) L'un de ces Jetons encaisse l'attaque a la place de la cible originelle.
Charmeur de Serpents	voleur		Creature		4	2	3	Invoquez 2 Jetons Serpents 1/1 avec Poison Mortel. (Si cette creature inflige des degats a une autre creature, cette derniere est systematiquement detruite. Si la cible de son attaque est un joueur donnez lui autant de marqueur poison que de degats subits. Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un.)
Bague du Voleur de Sorts	voleur		Artefact		5			Si votre adversaire lance un sort ayant le sous-type Piege, vous pouvez decider de le contre-carrer et de le mettre dans votre main. Si vous faites ainsi, detruisez cet artefact.
Mort-aux-rats	voleur		Sort	Piege	6			Au moment ou une creature adverse attaque une cible, vous pouvez decider que le joueur de votre choix obtient 2 Marqueurs Poison. (Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un.)
Empoisonneur Cinglant	voleur		Creature		7	2	7	A chaque fois que cette creature attaque le joueur, le joueur cible obtient 2 Marqueurs Poison. (Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un.) Charge. (Peux attaquer une creature des le tour ou cette carte est jouee)
Medusa, Reine des Serpents	voleur		Creature		8	1	7	Tant que cette creature est en vie, invoquez 1 Jeton Serpent 1/1 avec Poison Mortel a la fin de chacun de vos tours. Poison Mortel. (Si cette creature inflige des degats a une autre creature, cette derniere est systematiquement detruite. Si la cible de son attaque est un joueur donnez lui autant de marqueur poison que de degats subits. Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un.)
Serpent Millenaire	voleur		Creature		9	3	X	Les PVs de cette creature sont egaux aux nombres de Jetons Serpents en jeu et de Marqueurs Poison sur tout les joueurs. Poison Mortel, Charge. (Si cette creature inflige des degats a une autre creature, cette derniere est systematiquement detruite. Si la cible de son attaque est un joueur donnez lui autant de marqueur poison que de degats subits. Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un, cette creature peux attaquer une creature des le tour ou elle est jouee)
Pudding a l'Arsenic	voleur		Sort		10			Inflige X points de degat au joueur adverse, X etant le nombre de marqueurs poisons de tout les joueurs.
Pioche Mortelle	voleur		Sort		3			Sacrifiez un Jeton Serpent que vous controlez : piochez 2 cartes.
Piege Empoisonne	voleur		Sort	Piege	6			Au moment ou votre adversaire lance un sort, vous pouvez decider que le joueur de votre choix obtient 2 Marqueurs Poison. (Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un.)
Contre-sort	voleur		Sort	Piege	3			Au moment ou votre adversaire lance un sort, contrecarrez-le et retirez autant de marqueurs poisons de l'adversaire que le mana depense par l'adversaire pour lancer le sort qui viens de se faire contrecarrer.
Jongleur Fou	voleur		Creature		6	2	2	Combo 4. (En jouant cette carte vous pouvez jouer un nombre infini de cartes supplementaires sans payer leur cout en mana tant que le cout total en mana de toutes ces cartes ne dépasse pas 4.)
Scientifique Fou	voleur		Creature		1	1	1	A chaque fois que cette creature attaque, vous pouvez donner un Marqueur Poison au joueur de votre choix. (Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un.)
