Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte
Absorption	vampire		Sort		1			Donne Drain a la creature cible. (La moitie des degats (arrondi a l'inferieur) que cette creature inflige, qu'elle soit attaquante ou bloqueuse, vous sont rendus en PVs.)
Noble Vampire	vampire		Creature		2	2	2	A chaque fois que cette creature attaque, vous pouvez effectuer Succion 2 : cette creature gagne Provocation jusqu'au debut de votre prochain tour. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature, payez 2 PVs pour activer cet effet.)
Invocation de Chauve-Souris	vampire		Sort		3			Invoquez un Jeton Chauve-Souris 1/1 avec Drain. (La moitie des degats (arrondi a l'inferieur) que cette creature inflige, qu'elle soit attaquante ou bloqueuse, vous sont rendus en PVs.)
Pacte de Sang	vampire		Sort		4			Inflige 4 points de degats a la cible. Vous gagnez 2PVs. Si vous avez moins de 10PVs vous recuperez 3 points de Mana.
Seigneur Vampire	vampire		Creature		5	4	2	Invoquez deux jetons Chauve-Souris 1/1 avec Drain. (La moitie des degats (arrondi a l'inferieur) que cette creature inflige, qu'elle soit attaquante ou bloqueuse, vous sont rendus en PVs.) Celerite. (Peux attaquer des le tour ou cette carte est jouee)
Scribe Vampire	vampire		Creature		6	2	2	Piochez X cartes, X etant le nombre de Jetons Chauves-Souris en jeu.
Regroupement	vampire		Sort		7			Tout les Jetons Chauves-Souris en jeu gagnent +2/+0 jusqu'a la fin du tour.
Demon des Abysses	vampire		Creature		8	X	6	L'attaque de cette creature est egal au nombre de Jetons Chauve-Souris en jeu. Charge. (Peux attaquer une creature des le tour ou cette carte est jouee) Coute 1 de moins a jouer pour chaque Jeton Chauve-Souris en jeu.
Transformation en Chauve-Souris	vampire		Sort		3			La creature cible deviens jusqu'a la fin du tour un Jeton Chauve-Souris 1/1 avec Drain. (La moitie des degats (arrondi a l'inferieur) que cette creature inflige, qu'elle soit attaquante ou bloqueuse, vous sont rendus en PVs.)
Lame de Sang	vampire		Sort		3			La creature cible gagne +2/+0.
Dracula, Roi des Chauves-Souris	vampire		Creature		6	6	3	Invoquez 2 jetons Chauve-Souris 1/1 avec Drain. (La moitie des degats (arrondi a l'inferieur) que cette creature inflige, qu'elle soit attaquante ou bloqueuse, vous sont rendus en PVs.) Si vous avez moins de 10PVs, invoquez en 5 au lieu de 2.
Apprenti Vampire	vampire		Creature		3	2	2	Succion 2 : Gagne +2/+0 pour le tour en cours. (Payez 2 PVs pour activer cet effet.)
