Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte
Jeton Loup	jeton		Creature	Bete	1	1	1	Ne peux pas etre renvoye en main. Celerite. (Peux attaquer des le tour ou cette carte est jouee)
Jeton Durandal, Epee Sacree	jeton		Artefact		10			Ne peux pas etre renvoye en main. Tant que ce Jeton est en jeu, a chaqu'un de vos debuts de tour infligez X Points de Degats a toutes les creatures adverses, X etant le nombre de creatures alliees en jeu.
Jeton Engeance de Flamme	jeton		Creature	Feu	1	0	1	Ne peux pas etre renvoye en main. Tant que cette creature est en jeu, vos sorts infligent 1 points de degats supplementaires.
Jeton Engeance de Givre	jeton		Creature	Glace	1	0	1	Ne peux pas etre renvoye en main. Tant que cette creature est en jeu, reduisez les dommages recus de 1.
Jeton Zombie	jeton		Creature	Zombie	1	1	1	Ne peux pas etre renvoye en main.
Jeton Gobelin	jeton		Creature	Gobelin	1	1	1	Ne peux pas etre renvoye en main. Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature)
Jeton Chauve-Souris	jeton		Creature		1	1	1	Ne peux pas etre renvoye en main. Drain. (La moitie des degats (arrondi a l'inferieur) que cette creature inflige, qu'elle soit attaquante ou bloqueuse, vous sont rendus en PVs.)
Jeton Serpent	jeton		Creature		1	1	1	Ne peux pas etre renvoye en main. Poison Mortel. (Si cette creature inflige des degats a une autre creature, cette derniere est systematiquement detruite. Si la cible de son attaque est un joueur donnez lui autant de marqueur poison que de degats subits. Au debut du tour de ce joueur, il perd autant de PVs que de marqueurs poisons qu'il possede et en perds un.)
Jeton Bombe Elfique	jeton		Creature	Elfique	1	0	1	Ne peux pas etre renvoye en main. Quand ce Jeton meurt, infligez 1 point de degat a la cible.
Jeton Route vers le Saint Graal	jeton		Artefact		10			Ne peux pas etre renvoye en main. Si au debut de votre tour vous avez 3 creatures differentes en jeu avec le sous-type "Graal", sacrifiez ce jeton et invoquez un Jeton Saint Graal si vous n'en avez pas deja un.
Jeton Saint Graal	jeton		Artefact		10			Ne peux pas etre renvoye en main. Si au debut de votre tour vous avez 3 creatures differentes en jeu avec le sous-type "Graal", vous pouvez choisir de sacrifier ce jeton pour que le joueur de votre choix perde la partie.
